co_simbanet,37084,Mwanza PE,Mwanza_PE,Mwanza PE
co_simbanet,37084,Mwanza PE2 CP,Mwanza_PE2_CP,Mwanza PE2 CP
co_simbanet,37084,Oysterbay PE,Oysterbay_PE,Oysterbay PE
co_simbanet,37084,QC PE,QC_PE,QC PE
co_simbanet,37084,Salasala PE,Salasala_PE,Salasala PE
co_simbanet,37084,Tabora PE,Tabora_PE,Tabora PE
co_simbanet,37084,Tanga PE,Tanga_PE,Tanga PE
co_simbanet,37084,Teraco PE,Teraco_PE,Teraco PE
co_simbanet,37084,Ubungo PE,Ubungo_PE,Ubungo PE
co_simbanet,37084,UN Road PE,UN_Road_PE,UN Road PE
co_simbanet,37084,Zantel PE,Zantel_PE,Zantel PE
co_simbanet,37084,Zanzibar PE,Zanzibar_PE,Zanzibar PE
co_simbanet,852,Border Dar1,Dar_es_Salaam_TA_1,Dar es Salaam TA
co_simbanet,852,Bukoba PE,Dar_es_Salaam_TA_3,Dar es Salaam TA
co_simbanet,852,Core TAZ P1,Dar_es_Salaam_TA_2,Dar es Salaam TA
co_simbanet,852,Global Crossing,Phoenix_AZ_US_1,Phoenix AZ US
co_simbanet,852,Oregon Exchange,Eugene_OR_US,Eugene OR US
co_simbanet,852,TELUS Ontario (AS 852),Rimouski_Quebec_CA,Rimouski Quebec CA
co_vibe,13335,MDR-CR1,Auckland_NZ_3,Auckland NZ
co_vibe,13335,QH-RR1,Auckland_NZ_2,Auckland NZ
co_vibe,13335,SY3-CR1,Auckland_NZ_1,Auckland NZ
com_centurylink,209,"ASIA: HKG - HK, TSUEN WAN (HGK)",HGK,"HKG - HK, TSUEN WAN"
com_centurylink,209,"ASIA: JPN - JP, TOKYO (TKO)",TKO,"JPN - JP, TOKYO"
com_centurylink,209,"NORTH AMERICA: USA - AZ, TEMPE (PHX)",PHX,"USA - AZ, TEMPE"
com_centurylink,209,"NORTH AMERICA: USA - AZ, TUCSON (TCS)",TCS,"USA - AZ, TUCSON"
com_centurylink,209,"NORTH AMERICA: USA - CA, BURBANK (BUR)",BUR,"USA - CA, BURBANK"
com_centurylink,209,"NORTH AMERICA: USA - CA, SAN JOSE (SNJ)",SNJ,"USA - CA, SAN JOSE"
com_centurylink,209,"NORTH AMERICA: USA - CA, SUNNYVALE (SVL)",SVL,"USA - CA, SUNNYVALE"
com_centurylink,209,"NORTH AMERICA: USA - CO, COLORADO SPRINGS (CLS2)",LS2,"USA - CO, COLORADO SPRINGS"
com_centurylink,209,"NORTH AMERICA: USA - CO, DENVER (DVR)",DVR,"USA - CO, DENVER"
com_centurylink,209,"NORTH AMERICA: USA - CO, HIGHLANDS RANCH (HLR)",HLR,"USA - CO, HIGHLANDS RANCH"
com_centurylink,209,"NORTH AMERICA: USA - DC, WASHINGTON (DCA)",DCA,"USA - DC, WASHINGTON"
com_centurylink,209,"NORTH AMERICA: USA - FL, MIAMI (MIA)",MIA,"USA - FL, MIAMI"
com_centurylink,209,"NORTH AMERICA: USA - FL, TAMPA (TPA)",TPA,"USA - FL, TAMPA"
com_centurylink,209,"NORTH AMERICA: USA - GA, ATLANTA (ATL)",ATL,"USA - GA, ATLANTA"
com_centurylink,209,"NORTH AMERICA: USA - HI, HONOLULU (HNL)",HNL,"USA - HI, HONOLULU"
com_centurylink,209,"NORTH AMERICA: USA - IA, BETTENDORF (DVN)",DVN,"USA - IA, BETTENDORF"
com_centurylink,209,"NORTH AMERICA: USA - IA, CEDAR RAPIDS (CDR2)",DR2,"USA - IA, CEDAR RAPIDS"
com_centurylink,209,"NORTH AMERICA: USA - IA, DES MOINES (DES)",DES,"USA - IA, DES MOINES"
com_centurylink,209,"NORTH AMERICA: USA - IA, SIOUX CITY (SXC2)",XC2,"USA - IA, SIOUX CITY"
com_centurylink,209,"NORTH AMERICA: USA - ID, BOISE (BOI2)",OI2,"USA - ID, BOISE"
com_centurylink,209,"NORTH AMERICA: USA - IL, CHICAGO (CER)",CER,"USA - IL, CHICAGO"
com_centurylink,209,"NORTH AMERICA: USA - MA, BOSTON (BST)",BST,"USA - MA, BOSTON"
com_centurylink,209,"NORTH AMERICA: USA - MN, DULUTH (DLT)",DLT,"USA - MN, DULUTH"
com_centurylink,209,"NORTH AMERICA: USA - MN, MINNEAPOLIS (MIN)",MIN,"USA - MN, MINNEAPOLIS"
com_centurylink,209,"NORTH AMERICA: USA - MN, ROCHESTER (ROC2)",OC2,"USA - MN, ROCHESTER"
com_centurylink,209,"NORTH AMERICA: USA - MN, ST CLOUD (STC)",STC,"USA - MN, ST CLOUD"
com_centurylink,209,"NORTH AMERICA: USA - MO, KANSAS CITY (KCM)",KCM,"USA - MO, KANSAS CITY"
com_centurylink,209,"NORTH AMERICA: USA - MT, BILLINGS (BIL)",BIL,"USA - MT, BILLINGS"
com_centurylink,209,"NORTH AMERICA: USA - NC, CHARLOTTE (CHR)",CHR,"USA - NC, CHARLOTTE"
com_centurylink,209,"NORTH AMERICA: USA - NC, ROCKY MT (RCM)",RCM,"USA - NC, ROCKY MT"
com_centurylink,209,"NORTH AMERICA: USA - ND, BISMARCK (BIS)",BIS,"USA - ND, BISMARCK"
com_centurylink,209,"NORTH AMERICA: USA - ND, FARGO (FAR2)",AR2,"USA - ND, FARGO"
com_centurylink,209,"NORTH AMERICA: USA - NE, OMAHA (OMH)",OMH,"USA - NE, OMAHA"
com_centurylink,209,"NORTH AMERICA: USA - NJ, NEWARK (EWR)",EWR,"USA - NJ, NEWARK"
com_centurylink,209,"NORTH AMERICA: USA - NM, ALBUQUERQUE (ABQ)",ABQ,"USA - NM, ALBUQUERQUE"
com_centurylink,209,"NORTH AMERICA: USA - NV, LAS VEGAS (LSV2)",SV2,"USA - NV, LAS VEGAS"
com_centurylink,209,"NORTH AMERICA: USA - NY, MANHATTAN (JFK)",JFK,"USA - NY, MANHATTAN"
com_centurylink,209,"NORTH AMERICA: USA - OR, EUGENE (EUG)",EUG,"USA - OR, EUGENE"
com_centurylink,209,"NORTH AMERICA: USA - OR, PORTLAND (POR)",POR,"USA - OR, PORTLAND"
com_centurylink,209,"NORTH AMERICA: USA - TX, DALLAS (DAL)",DAL,"USA - TX, DALLAS"
com_centurylink,209,"NORTH AMERICA: USA - TX, HOUSTON (IAH)",IAH,"USA - TX, HOUSTON"
com_centurylink,209,"NORTH AMERICA: USA - UT, SALT LAKE CITY (SLC)",SLC,"USA - UT, SALT LAKE CITY"
com_centurylink,209,"NORTH AMERICA: USA - UT, SALT LAKE CITY (SLC2)",LC2,"USA - UT, SALT LAKE CITY"
com_centurylink,209,"NORTH AMERICA: USA - WA, SPOKANE (SPK2)",PK2,"USA - WA, SPOKANE"
com_centurylink,209,"NORTH AMERICA: USA - WA, TUKWILA (TUK)",TUK,"USA - WA, TUKWILA"
com_centurylink,209,"NORTH AMERICA: USA - WY, CHEYENNE (CHY2)",HY2,"USA - WY, CHEYENNE"
com_cogent,174,ams04,NL_Amsterdam,Amsterdam NL
com_cogent,174,ath01,GR_Athens,Athens GR
com_cogent,174,atl01,US_Atlanta,Atlanta US
com_cogent,174,bcn01,ES_Barcelona,Barcelona ES
com_cogent,174,ber01,DE_Berlin,Berlin DE
com_cogent,174,bod01,FR_Bordeaux,Bordeaux FR
com_cogent,174,bos01,US_Boston,Boston US
com_cogent,174,bru01,BE_Brussels,Brussels BE
com_cogent,174,bts01,SK_Bratislava,Bratislava SK
com_cogent,174,bud01,HU_Budapest,Budapest HU
com_cogent,174,buh01,RO_Bucharest,Bucharest RO
com_cogent,174,cph01,DK_Copenhagen,Copenhagen DK
com_cogent,174,dca01,US_Washington_DC,Washington DC US
com_cogent,174,den01,US_Denver,Denver US
com_cogent,174,dfw01,US_Dallas,Dallas US
com_cogent,174,dub01,IE_Dublin,Dublin IE
com_cogent,174,dus01,DE_Dusseldorf,Dusseldorf DE
com_cogent,174,fra03,DE_Frankfurt,Frankfurt DE
com_cogent,174,ham01,DE_Hamburg,Hamburg DE
